# Categories:
# 1 = Music & Audio
# 2 = Makers & To-Makes
# 3 = Nature & Discoveries
# 4 = Scientific Expositions
# 5 = Engineering & Technology
# 6 = Mathematics & Puzzles
# 7 = Visual Media & Critiques
# 8 = Entertainers & Comedy
# 9 = Philosophies & Politics
# 10 = Outdoor Sports & Climbing
# 11 = Institutes & Organizations
# 12 = Uncategorized & Uncategorizable
Channel Url, Channel Title, Category Id
http://www.youtube.com/channel/UCGi1aJf82xrHU3Et3uGLc-A, Bird Kind, 3
http://www.youtube.com/channel/UCGm3CO6LPcN-Y7HIuyE0Rew, Monty Python, 8
http://www.youtube.com/channel/UCH74Hc_7WYVzx1GXhLEH6Eg, Mathologer 2, 6
http://www.youtube.com/channel/UCHAUlULA0quOmHvX5uGNcHA, Gal Lahat, 4
http://www.youtube.com/channel/UCHCph-_jLba_9atyCZJPLQQ, How It Should Have Ended, 8
http://www.youtube.com/channel/UCHYty7uxes_Eu2Bb2YbeJgQ, BPPB Virtual Seminars, 11
http://www.youtube.com/channel/UCHmI2RV5sjUyvO52e_kRgsA, Flower-3D, 2
http://www.youtube.com/channel/UCHsRtomD4twRf5WVHHk-cMw, TierZoo, 8
http://www.youtube.com/channel/UCHvclDvjk_dUpZW59geZBmw, Flautas Kaypora, 1
http://www.youtube.com/channel/UCIAmdxvgfnIEZnyQSiqgVgQ, Keenan Crane, 6
http://www.youtube.com/channel/UCIQ8Zpb_NYmKcRLkRI3wb7w, Stated Casually, 4
http://www.youtube.com/channel/UCIRjdHLsHq6xdtAHAmoueqg, Bouldering Bobat, 10
http://www.youtube.com/channel/UCIgKGGJkt1MrNmhq3vRibYA, NurdRage, 2
https://www.youtube.com/@linksphotograph, Links TV, 7
http://www.youtube.com/channel/UCIjUIjWig0r5DIixQrt6A3A, t3ssel8r, 5
http://www.youtube.com/channel/UCJ0-OtVpF0wOKEqT2Z1HEtA, ElectroBOOM, 4
http://www.youtube.com/channel/UCJDddEUqK26B0soFP23fvmA, The Float Life, 10
http://www.youtube.com/channel/UCJm8Q-9K_8n-UBrgwEo4yLA, ARIatHOME, 1
http://www.youtube.com/channel/UCK2AbaC2A5j5br2wA9mllNw, ETI Magic, 5
http://www.youtube.com/channel/UCKJvfb-6icHloy6MBpHg9aw, 毕导THU, 4
http://www.youtube.com/channel/UCKeTCCYBg0CFrFHm2nxx_rQ, Japhy Riddle, 7
http://www.youtube.com/channel/UCKpvVIrdj_gBxOKmDkZ3-cw, Etoilec1 Animations, 7
http://www.youtube.com/channel/UCLDYDiIo5CmWScrENJWYJAw, The Whitest Kids U'Know, 8
http://www.youtube.com/channel/UCLYsOHTQhS_vjFWQa31Lh4A, PhilosophyCosmology, 9
http://www.youtube.com/channel/UCLdPicN16eAKPKir8EY1UXQ, Kale Brock (Kale Brock), 10
http://www.youtube.com/channel/UCLdZXAkPK8aIB2NeBLMJt0Q, Gravity Sketch, 5
http://www.youtube.com/channel/UCLlxee8JwNs4hrNDx8zeVvg, SorrelsSouls, 2
http://www.youtube.com/channel/UCLt9kIslIa1ffiM8A04KORw, W&M Levsha, 2
http://www.youtube.com/channel/UCLtXaIMUhZIZ54gJbAPV2PQ, Olga Scheps, 1
http://www.youtube.com/channel/UCLze_9DjASz_ZxB7UTt2Alw, Bouldering DabRats, 10
http://www.youtube.com/channel/UCM42XWqRoruK6bNkgbgoJMw, DisneyResearchHub, 5
http://www.youtube.com/channel/UCMEH-Cv9D1TjPp6As1vE7Zg, SawLady, 1
http://www.youtube.com/channel/UCMOqf8ab-42UUQIdVoKwjlQ, Practical Engineering, 4
http://www.youtube.com/channel/UCMk_WSPy3EE16aK5HLzCJzw, NativLang, 4
http://www.youtube.com/channel/UCMkybZyI_B-xgkLQo_eCQ_w, American Museum of Natural History, 11
http://www.youtube.com/channel/UCMrMVIBtqFW6O0-MWq26gqw, my mechanics, 2
http://www.youtube.com/channel/UCMuDqExNJkCJpOHsX4VKY9g, REEL ROCK, 10
http://www.youtube.com/channel/UCN-StetwWuVYf-MU2_NVj4A, Agility Robotics, 5
http://www.youtube.com/channel/UCNAckPiDYxRWengUlRujs6Q, gerubach, 1
http://www.youtube.com/channel/UCNLehxWiyfwbOo7IHfGkTDg, Paul Bourke, 12
http://www.youtube.com/channel/UCNk3CeLpCA0qIZsuzGl09cw, Homemade Science with Bruce Yeany, 4
http://www.youtube.com/channel/UCNwMlvgV3i7T3plk-VCfu5Q, Pete's Free Info Center, 4
http://www.youtube.com/channel/UCOGIECHTKwpVkxqJrbTBSUw, Mechanistic, 2
http://www.youtube.com/channel/UCOGeU-1Fig3rrDjhm9Zs_wg, Vihart, 6
http://www.youtube.com/channel/UCOIE6FWr1SpWvbPJIIiEgog, clayisland, 10
http://www.youtube.com/channel/UCOQN5u9oIocoYEdn3LQID4Q, But Why?, 4
http://www.youtube.com/channel/UCORIeT1hk6tYBuntEXsguLg, PostmodernJukebox, 1
http://www.youtube.com/channel/UCOhJe_WzF7bVojkgkz3V_gA, Easy Origami - Yakomoga, 2
http://www.youtube.com/channel/UCOjm3MCxpq_YF4ywdnhZMkA, 谈三圈, 5
http://www.youtube.com/channel/UCOojfmX4Wq3Ww-XP_IkvviQ, True Cuckoo, 1
http://www.youtube.com/channel/UCOwZa5EtffJa7we4dfMUdng, Goatstream, 5
http://www.youtube.com/channel/UCOxkak25bS67-EIGCd89BLw, Sondre Berg, 10
http://www.youtube.com/channel/UCP3KhLhmG3Z1CMWyLkn7pbQ, Jerboa, 4
http://www.youtube.com/channel/UCP5Kd0smdWe9H_bDH-73c6Q, 老师好我叫何同学, 7
http://www.youtube.com/channel/UCP7jMXSY2xbc3KCAE0MHQ-A, Google DeepMind, 5
http://www.youtube.com/channel/UCPA1NCFqYebL6RBW5-bnOrg, Robert Tolone, 2
http://www.youtube.com/channel/UCPKnBhy8PqPLapWIZ7orlKQ, Institute of Physics, 11
http://www.youtube.com/channel/UCQ3PmH7kBZnWCD1jGqBYahg, Yaybahar, 1
http://www.youtube.com/channel/UCQ5kqUO7Pkc7YWRNnjetfbw, Skid Kids, 10
http://www.youtube.com/channel/UCQ9e0JHba7ApNz_-HL-p_6A, GREENPOWERSCIENCE, 12
http://www.youtube.com/channel/UCQRnnO-TlbPKhlIjp04TnWg, INDUSTRIAL JP, 1
http://www.youtube.com/channel/UCQZkWBdIi24VkVjgd5znSkQ, MOSFET, 5
http://www.youtube.com/channel/UCQvq-0fss4lNrmIz7gcPLtQ, HowNOT2, 10
http://www.youtube.com/channel/UCR4U_q_MojVVqYnawAVlryw, 睡前消息, 9
http://www.youtube.com/channel/UCRAHO4kfQUx451TPuaBIJlg, shiura, 5
http://www.youtube.com/channel/UCRBwLPbXGsI2cJe9W1zfSjQ, Just Have a Think, 9
http://www.youtube.com/channel/UCRByPS00RZsAUe2DTCoHuFQ, 好奇大叔 Uncle Curious, 9
http://www.youtube.com/channel/UCRmtQhqRR8TmXOwuMu4sd1Q, 王天一铁粉, 7
https://www.youtube.com/@jeoresearch, Jason Orlosky, 5
http://www.youtube.com/channel/UCSQXKht7qG4sDO2U-5GTucA, quietmarverick, 2
http://www.youtube.com/channel/UCSb_Sui6FBxVS4_ROsrU_Iw, Natural Habitat Shorts, 8
http://www.youtube.com/channel/UCSgGqt-30oXBq0-n0K-t4Nw, 科技新信号TechSignal, 9
